Date,SP500,CPI,LTR,CAPE,Kilde
1871-01,4.440000,12.464061,5.320000,,shiller
1871-02,4.500000,12.844641,5.323333,,shiller
1871-03,4.610000,13.034972,5.326667,,shiller
1871-04,4.740000,12.559226,5.330000,,shiller
1871-05,4.860000,12.273812,5.333333,,shiller
1871-06,4.820000,12.083481,5.336667,,shiller
1871-07,4.730000,12.083481,5.340000,,shiller
1871-08,4.790000,11.893231,5.343333,,shiller
1871-09,4.840000,12.178646,5.346667,,shiller
1871-10,4.590000,12.368896,5.350000,,shiller
1871-11,4.640000,12.368896,5.353333,,shiller
1871-12,4.740000,12.654392,5.356667,,shiller
1872-01,4.860000,12.654392,5.360000,,shiller
1872-02,4.880000,12.654392,5.378333,,shiller
1872-03,5.040000,12.844641,5.396667,,shiller
1872-04,5.180000,13.130137,5.415000,,shiller
1872-05,5.180000,13.130137,5.433333,,shiller
1872-06,5.130000,13.034972,5.451667,,shiller
1872-07,5.100000,12.844641,5.470000,,shiller
1872-08,5.040000,12.939807,5.488333,,shiller
1872-09,4.950000,13.034972,5.506667,,shiller
1872-10,4.970000,12.749476,5.525000,,shiller
1872-11,4.950000,13.130137,5.543333,,shiller
1872-12,5.070000,12.939807,5.561667,,shiller
1873-01,5.110000,12.939807,5.580000,,shiller
1873-02,5.150000,13.225221,5.570833,,shiller
1873-03,5.110000,13.225221,5.561667,,shiller
1873-04,5.040000,13.225221,5.552500,,shiller
1873-05,5.050000,12.939807,5.543333,,shiller
1873-06,4.980000,12.559226,5.534167,,shiller
1873-07,4.970000,12.559226,5.525000,,shiller
1873-08,4.970000,12.559226,5.515833,,shiller
1873-09,4.590000,12.559226,5.506667,,shiller
1873-10,4.190000,12.273812,5.497500,,shiller
1873-11,4.040000,11.893231,5.488333,,shiller
1873-12,4.420000,12.178646,5.479167,,shiller
1874-01,4.660000,12.368896,5.470000,,shiller
1874-02,4.800000,12.368896,5.436667,,shiller
1874-03,4.730000,12.368896,5.403333,,shiller
1874-04,4.600000,12.178646,5.370000,,shiller
1874-05,4.480000,12.083481,5.336667,,shiller
1874-06,4.460000,11.798066,5.303333,,shiller
1874-07,4.460000,11.893231,5.270000,,shiller
1874-08,4.470000,11.798066,5.236667,,shiller
1874-09,4.540000,11.798066,5.203333,,shiller
1874-10,4.530000,11.607736,5.170000,,shiller
1874-11,4.570000,11.512651,5.136667,,shiller
1874-12,4.540000,11.512651,5.103333,,shiller
1875-01,4.540000,11.512651,5.070000,,shiller
1875-02,4.530000,11.512651,5.030000,,shiller
1875-03,4.590000,11.512651,4.990000,,shiller
1875-04,4.650000,11.607736,4.950000,,shiller
1875-05,4.470000,11.322321,4.910000,,shiller
1875-06,4.380000,11.132071,4.870000,,shiller
1875-07,4.390000,11.132071,4.830000,,shiller
1875-08,4.410000,11.227155,4.790000,,shiller
1875-09,4.370000,11.132071,4.750000,,shiller
1875-10,4.300000,11.132071,4.710000,,shiller
1875-11,4.370000,11.036906,4.670000,,shiller
1875-12,4.370000,10.941740,4.630000,,shiller
1876-01,4.460000,10.846575,4.590000,,shiller
1876-02,4.520000,10.846575,4.578333,,shiller
1876-03,4.510000,10.846575,4.566667,,shiller
1876-04,4.340000,10.751491,4.555000,,shiller
1876-05,4.180000,10.370911,4.543333,,shiller
1876-06,4.150000,10.085415,4.531667,,shiller
1876-07,4.100000,10.085415,4.520000,,shiller
1876-08,3.930000,10.180580,4.508333,,shiller
1876-09,3.690000,10.275745,4.496667,,shiller
1876-10,3.670000,10.465995,4.485000,,shiller
1876-11,3.600000,10.561160,4.473333,,shiller
1876-12,3.580000,10.751491,4.461667,,shiller
1877-01,3.550000,10.941740,4.450000,,shiller
1877-02,3.340000,10.656326,4.440833,,shiller
1877-03,3.170000,10.180580,4.431667,,shiller
1877-04,2.940000,10.465995,4.422500,,shiller
1877-05,2.940000,10.656326,4.413333,,shiller
1877-06,2.730000,10.085415,4.404167,,shiller
1877-07,2.850000,10.180580,4.395000,,shiller
1877-08,3.050000,9.800000,4.385833,,shiller
1877-09,3.240000,9.704835,4.376667,,shiller
1877-10,3.310000,9.704835,4.367500,,shiller
1877-11,3.260000,9.514585,4.358333,,shiller
1877-12,3.250000,9.514585,4.349167,,shiller
1878-01,3.250000,9.229089,4.340000,,shiller
1878-02,3.180000,9.134005,4.330000,,shiller
1878-03,3.240000,8.943674,4.320000,,shiller
1878-04,3.330000,8.848509,4.310000,,shiller
1878-05,3.340000,8.563094,4.300000,,shiller
1878-06,3.410000,8.372845,4.290000,,shiller
1878-07,3.480000,8.467929,4.280000,,shiller
1878-08,3.450000,8.563094,4.270000,,shiller
1878-09,3.520000,8.563094,4.260000,,shiller
1878-10,3.480000,8.467929,4.250000,,shiller
1878-11,3.470000,8.372845,4.240000,,shiller
1878-12,3.450000,8.182514,4.230000,,shiller
1879-01,3.580000,8.277679,4.220000,,shiller
1879-02,3.710000,8.372845,4.203333,,shiller
1879-03,3.650000,8.277679,4.186667,,shiller
1879-04,3.770000,8.182514,4.170000,,shiller
1879-05,3.940000,8.182514,4.153333,,shiller
1879-06,3.960000,8.087381,4.136667,,shiller
1879-07,4.040000,8.182514,4.120000,,shiller
1879-08,4.070000,8.182514,4.103333,,shiller
1879-09,4.220000,8.467929,4.086667,,shiller
1879-10,4.680000,8.943674,4.070000,,shiller
1879-11,4.930000,9.419420,4.053333,,shiller
1879-12,4.920000,9.704835,4.036667,,shiller
1880-01,5.110000,9.990331,4.020000,,shiller
1880-02,5.200000,9.990331,3.993333,,shiller
1880-03,5.300000,10.085415,3.966667,,shiller
1880-04,5.180000,9.704835,3.940000,,shiller
1880-05,4.770000,9.419420,3.913333,,shiller
1880-06,4.790000,9.229089,3.886667,,shiller
1880-07,5.010000,9.229089,3.860000,,shiller
1880-08,5.190000,9.229089,3.833333,,shiller
1880-09,5.180000,9.324255,3.806667,,shiller
1880-10,5.330000,9.324255,3.780000,,shiller
1880-11,5.610000,9.419420,3.753333,,shiller
1880-12,5.840000,9.514585,3.726667,,shiller
1881-01,6.190000,9.419420,3.700000,18.473952,shiller
1881-02,6.170000,9.514585,3.693333,18.147258,shiller
1881-03,6.240000,9.514585,3.686667,18.270119,shiller
1881-04,6.220000,9.609669,3.680000,17.950108,shiller
1881-05,6.500000,9.514585,3.673333,18.869719,shiller
1881-06,6.580000,9.514585,3.666667,19.028711,shiller
1881-07,6.350000,9.609669,3.660000,18.116367,shiller
1881-08,6.200000,9.800000,3.653333,17.286244,shiller
1881-09,6.250000,10.180580,3.646667,16.724837,shiller
1881-10,6.150000,10.275745,3.640000,16.261989,shiller
1881-11,6.190000,10.180580,3.633333,16.478642,shiller
1881-12,6.010000,10.180580,3.626667,15.958754,shiller
1882-01,5.920000,10.180580,3.620000,15.678764,shiller
1882-02,5.790000,10.275745,3.620833,15.153862,shiller
1882-03,5.780000,10.275745,3.621667,15.091670,shiller
1882-04,5.780000,10.370911,3.622500,14.916997,shiller
1882-05,5.710000,10.465995,3.623333,14.567103,shiller
1882-06,5.680000,10.561160,3.624167,14.327405,shiller
1882-07,6.000000,10.465995,3.625000,15.240560,shiller
1882-08,6.180000,10.561160,3.625833,15.525429,shiller
1882-09,6.240000,10.275745,3.626667,16.081107,shiller
1882-10,6.070000,10.180580,3.627500,15.755581,shiller
1882-11,5.810000,10.085415,3.628333,15.192670,shiller
1882-12,5.840000,9.990331,3.629167,15.382128,shiller
1883-01,5.810000,9.990331,3.630000,15.270259,shiller
1883-02,5.680000,10.085415,3.629167,14.757590,shiller
1883-03,5.750000,9.990331,3.628333,15.051254,shiller
1883-04,5.870000,9.895165,3.627500,15.482067,shiller
1883-05,5.770000,9.800000,3.626667,15.335498,shiller
1883-06,5.820000,9.514585,3.625833,15.903388,shiller
1883-07,5.730000,9.324255,3.625000,15.948783,shiller
1883-08,5.470000,9.324255,3.624167,15.196811,shiller
1883-09,5.530000,9.229089,3.623333,15.494692,shiller
1883-10,5.380000,9.229089,3.622500,15.048056,shiller
