Date,ACMTP10
1961-06,0.165350
1961-07,0.411070
1961-08,0.300715
1961-09,0.205268
1961-10,0.303862
1961-11,0.083088
1961-12,-0.132671
1962-01,0.165735
1962-02,0.162358
1962-03,0.294503
1962-04,0.070220
1962-05,0.359964
1962-06,0.240981
1962-07,0.305409
1962-08,0.420801
1962-09,0.466888
1962-10,0.477301
1962-11,0.399728
1962-12,0.393207
1963-01,0.213960
1963-02,0.392271
1963-03,0.402339
1963-04,0.287639
1963-05,0.232672
1963-06,0.265029
1963-07,0.069514
1963-08,0.156828
1963-09,0.175191
1963-10,0.235215
1963-11,0.012878
1963-12,0.029482
1964-01,0.097957
1964-02,0.116473
1964-03,0.182599
1964-04,0.159843
1964-05,0.109610
1964-06,0.101619
1964-07,0.364443
1964-08,0.257879
1964-09,0.089073
1964-10,0.082222
1964-11,-0.052493
1964-12,0.006353
1965-01,0.287085
1965-02,0.189177
1965-03,0.068865
1965-04,0.023488
1965-05,-0.000643
1965-06,0.059344
1965-07,0.062921
1965-08,0.023012
1965-09,0.210374
1965-10,0.115243
1965-11,0.084273
1965-12,0.209307
1966-01,0.291946
1966-02,0.473091
1966-03,0.305660
1966-04,0.285290
1966-05,0.232872
1966-06,0.392238
1966-07,0.476738
1966-08,0.659549
1966-09,0.419473
1966-10,0.322165
1966-11,0.392241
1966-12,0.147387
1967-01,0.160159
1967-02,0.260984
1967-03,0.174008
1967-04,0.509484
1967-05,0.498163
1967-06,0.675338
1967-07,0.410006
1967-08,0.602887
1967-09,0.549084
1967-10,0.802638
1967-11,0.742999
1967-12,0.726972
1968-01,0.730801
1968-02,0.729105
1968-03,0.862999
1968-04,0.803280
1968-05,0.711428
1968-06,1.304558
1968-07,1.618107
1968-08,0.714767
1968-09,0.711551
1968-10,0.794064
1968-11,0.705786
1968-12,0.839075
1969-01,0.848533
1969-02,0.631639
1969-03,1.112467
1969-04,0.938442
1969-05,1.008066
1969-06,0.789485
1969-07,0.284694
1969-08,0.634232
1969-09,0.845966
1969-10,0.168577
1969-11,0.953789
1969-12,0.160862
1970-01,0.997318
1970-02,0.476737
1970-03,1.150549
1970-04,1.621462
1970-05,1.331951
1970-06,1.550013
1970-07,1.541746
1970-08,1.638013
1970-09,1.724567
1970-10,1.634828
1970-11,2.005910
1970-12,1.438250
1971-01,2.225729
1971-02,2.177745
1971-03,1.935775
1971-04,1.653024
1971-05,1.743754
1971-06,1.602041
1971-07,1.661068
1971-08,1.363352
1971-09,1.269798
1971-10,1.371797
1971-11,1.549405
1971-12,1.670069
1972-01,1.765943
1972-02,1.800470
1972-03,1.393018
1972-04,1.585861
1972-05,1.641993
1972-06,1.312855
1972-07,1.462076
1972-08,1.423234
1972-09,1.346987
1972-10,1.300888
1972-11,1.290616
1972-12,1.190020
1973-01,1.082091
1973-02,0.927078
1973-03,0.895225
1973-04,1.027158
1973-05,0.941763
1973-06,0.739832
1973-07,0.914210
1973-08,0.835624
1973-09,1.236973
1973-10,0.894674
1973-11,0.638103
1973-12,1.021324
1974-01,1.251208
1974-02,1.058099
1974-03,1.014484
1974-04,1.102841
1974-05,1.193205
1974-06,1.154958
1974-07,0.785646
1974-08,1.228644
1974-09,1.581103
1974-10,1.144945
1974-11,1.312092
1974-12,1.342477
1975-01,1.781017
1975-02,1.883542
1975-03,1.938164
1975-04,2.254098
1975-05,2.251891
1975-06,1.862898
1975-07,1.675535
1975-08,1.852329
1975-09,1.949940
1975-10,2.195264
1975-11,2.291460
1975-12,2.261348
1976-01,2.432659
1976-02,2.139177
1976-03,2.173075
1976-04,2.180267
1976-05,2.037969
1976-06,2.147945
1976-07,2.293037
1976-08,2.324897
1976-09,2.410083
1976-10,2.451670
1976-11,2.711839
1976-12,2.182151
1977-01,2.150926
1977-02,2.321788
1977-03,2.400253
1977-04,2.398580
1977-05,2.381506
1977-06,2.308718
1977-07,2.084406
1977-08,1.922184
1977-09,1.838546
1977-10,1.739976
1977-11,1.791510
1977-12,2.025499
1978-01,2.048373
1978-02,2.059020
1978-03,2.025603
1978-04,2.006638
1978-05,1.988116
1978-06,2.030579
1978-07,1.993116
1978-08,1.817990
1978-09,1.695719
1978-10,1.806940
1978-11,1.511855
1978-12,1.530153
1979-01,1.544986
1979-02,1.720745
1979-03,1.725489
1979-04,1.833017
1979-05,1.724539
1979-06,1.705157
1979-07,1.710378
1979-08,1.666079
1979-09,1.637902
1979-10,1.780964
1979-11,2.260752
1979-12,2.289906
1980-01,3.023569
1980-02,2.818141
1980-03,2.687784
1980-04,3.327894
1980-05,3.999548
